,Sport Identifier,Match Info,Outcome,Player Name,Player Stat
0,sspz8,SF 1 @ NYM 4 - 7/01/23 4:10PM,o3o4E,Anthony DeSclafani,Lower  - 4.0 Strikeouts
1,sspz8,BAL 0 vs MIN 1 - 7/01/23 4:05PM,o3o4E,Kyle Bradish,Higher  - 6.0 Strikeouts
2,sspz8,TOR 6 vs BOS 7 - 7/01/23 3:07PM,NT6cP,Yusei Kikuchi,Lower  - 6.0 Strikeouts
3,sspz8,OAK 7 vs CWS 6 - 7/01/23 4:07PM,,Kyle Muller,Higher  - 4.0 Strikeouts
4,sspz8,STL 11 vs NYY 4 - 7/01/23 2:15PM,NT6cP,Jack Flaherty,Higher  - 5.0 Strikeouts
5,sspz8,ATL 7 vs MIA 0 - 7/01/23 4:10PM,o3o4E,Charlie Morton,Lower  - 6.5 Strikeouts
6,sspz8,PIT 8 vs MIL 11 - 7/01/23 4:05PM,o3o4E,Johan Oviedo,Lower  - 5.5 Strikeouts
7,sspz8,LAA 1 vs ARI 3 - 7/01/23 10:07PM,o3o4E,Shohei Ohtani,Lower  - 2.5 Hits + Runs + RBIs
8,sspz8,ARI 3 @ LAA 1 - 7/01/23 10:07PM,o3o4E,Ryne Nelson,Higher  - 4.0 Strikeouts
9,sspz8,CHC 0 vs CLE 6 - 7/01/23 7:15PM,NT6cP,Marcus Stroman,Lower  - 4.0 Strikeouts
10,l6l_J,CLE 6 @ CHC 0 - 7/01/23 7:15PM,NT6cP,Tanner Bibee,Lower  - 5.0 Strikeouts
11,sspz8,TEX 5 vs HOU 2 - 7/01/23 4:05PM,,Nathan Eovaldi,Higher  - 5.0 Strikeouts
12,sspz8,PHI 19 vs WSH 4 - 7/01/23 4:05PM,,Zack Wheeler,Higher  - 6.0 Strikeouts
13,sspz8,TB 3 @ SEA 8 - 7/01/23 7:15PM,NT6cP,Tyler Glasnow,Lower  - 8.0 Strikeouts
14,sspz8,TOR 6 vs BOS 7 - 7/01/23 3:07PM,NT6cP,Yusei Kikuchi,Lower  - 6.0 Strikeouts
15,sspz8,HOU 2 @ TEX 5 - 7/01/23 4:05PM,,Hunter Brown,Lower  - 6.0 Strikeouts
16,sspz8,MIL 11 @ PIT 8 - 7/01/23 4:05PM,o3o4E,Corbin Burnes,Higher  - 6.0 Strikeouts
17,sspz8,CIN 5 vs SD 12 - 7/01/23 1:40PM,NT6cP,Brandon Williamson,Lower  - 3.5 Strikeouts
18,sspz8,BOS 7 @ TOR 6 - 7/01/23 3:07PM,NT6cP,Kutter Crawford,Lower  - 4.0 Strikeouts
19,sspz8,LAA 1 vs ARI 3 - 7/01/23 10:07PM,NT6cP,Shohei Ohtani,Higher  - 0.5 Runs
20,sspz8,PHI 19 vs WSH 4 - 7/01/23 4:05PM,o3o4E,Zack Wheeler,Lower  - 6.5 Strikeouts
21,l6l_J,CLE 6 @ CHC 0 - 7/01/23 7:15PM,o3o4E,Tanner Bibee,Higher  - 5.0 Strikeouts
22,sspz8,CHC 0 vs CLE 6 - 7/01/23 7:15PM,NT6cP,Marcus Stroman,Lower  - 4.0 Strikeouts
23,sspz8,BOS 7 @ TOR 6 - 7/01/23 3:07PM,NT6cP,Kutter Crawford,Lower  - 4.0 Strikeouts
24,sspz8,Paul vs Barrere - 7/01/23 6:00AM,o3o4E,Tommy Paul,Lower  - 12.5 Games won
25,sspz8,Eubanks vs Mannarino - 7/01/23 12:00PM,o3o4E,Adrian Mannarino,Lower  - 13.0 Games won
26,sspz8,Bronzetti vs Siniak… - 7/01/23 8:30AM,o3o4E,Katerina Siniakova,Lower  - 11.5 Games lost
27,sspz8,PHX 74 @ SEA 97 - 6/24/23 9:00PM,o3o4E,Diana Taurasi,Lower  - 15.5 Points
28,sspz8,PHX 74 @ SEA 97 - 6/24/23 9:00PM,o3o4E,Brittney Griner,Lower  - 20.5 Points
29,sspz8,IND 88 @ LV 101 - 6/24/23 9:00PM,o3o4E,Kelsey Mitchell,Lower  - 18.5 Points
30,sspz8,NYY 1 vs TEX 0 - 6/24/23 4:05PM,o3o4E,Luis Severino,Lower  - 5.5 Strikeouts
31,sspz8,BAL 6 vs SEA 4 - 6/24/23 4:05PM,o3o4E,Dean Kremer,Lower  - 5.5 Strikeouts
32,sspz8,LAA 25 @ COL 1 - 6/24/23 9:10PM,o3o4E,Shohei Ohtani,Lower  - 2.0 Total Bases
33,l6l_J,LAD 8 vs HOU 7 - 6/24/23 7:15PM,NT6cP,Bobby Miller,Higher  - 5.0 Strikeouts
34,sspz8,HOU 7 @ LAD 8 - 6/24/23 7:15PM,o3o4E,Ronel Blanco,Higher  - 4.0 Strikeouts
35,sspz8,LAA 25 @ COL 1 - 6/24/23 9:10PM,NT6cP,Mike Trout,Lower  - 2.0 Total Bases
36,sspz8,KC 9 @ TB 4 - 6/24/23 4:10PM,NT6cP,Jordan Lyles,Higher  - 4.0 Strikeouts
37,sspz8,ATL 7 @ CIN 6 - 6/24/23 4:10PM,o3o4E,Jared Shuster,Lower  - 4.0 Strikeouts
38,l6l_J,PIT 3 @ MIA 4 - 6/24/23 4:10PM,o3o4E,Osvaldo Bido,Higher  - 4.0 Strikeouts
39,sspz8,Ally 400 - 6/25/23 7:00PM,NT6cP,Ryan Blaney,Lower  - 9.5 Finishing Position
40,sspz8,Ally 400 - 6/25/23 7:00PM,NT6cP,Kyle Busch,Lower  - 6.5 Finishing Position
41,sspz8,Ally 400 - 6/25/23 7:00PM,o3o4E,Denny Hamlin,Lower  - 7.5 Finishing Position
