,Sport Identifier,Match Info,Outcome,Player Stat,Date
0,cQka7,Rocket Mortgag... R1,iPePg,Fewer Strokes,6/29/23 12:43PM
1,cQka7,Rocket Mortgag... R1,iPePg,Fewer Strokes,6/29/23 1:16PM
2,cQka7,Rocket Mortgag... R1,,Fewer Strokes,6/29/23 1:38PM
3,cQka7,Rocket Mortgag... R1,iPePg,Fewer Strokes,6/29/23 12:10PM
4,cQka7,Rocket Mortgag... R1,ONP9m,Fewer Strokes,6/29/23 12:54PM
5,cQka7,Rocket Mortgag... R1,ONP9m,Fewer Strokes,6/29/23 1:49PM
6,cQka7,Rocket Mortgag... R1,ONP9m,Fewer Strokes,6/29/23 6:56AM
7,cQka7,Rocket Mortgag... R1,iPePg,Fewer Strokes,6/29/23 7:18AM
8,cQka7,Rocket Mortgag... R1,ONP9m,Fewer Strokes,6/29/23 7:29AM
9,A81xn,SF 0 vs SD 10,,Hits + Runs + RBIs,6/22/23 3:45PM
10,A81xn,BOS 0 @ MIN 6,iPePg,Total Bases,6/22/23 1:10PM
11,A81xn,SF 4 vs SD 2,iPePg,Hits + Runs + RBIs,6/21/23 9:45PM
12,A81xn,LAA 0 vs LAD 2,iPePg,Hits + Runs + RBIs,6/21/23 9:38PM
13,A81xn,OAK 6 @ CLE 7,iPePg,Hits + Runs + RBIs,6/21/23 7:10PM
14,A81xn,CWS 3 vs TEX 6,iPePg,Hits + Runs + RBIs,6/21/23 8:10PM
15,A81xn,CWS 3 vs TEX 6,ONP9m,Total Bases,6/21/23 8:10PM
16,A81xn,LAA 0 vs LAD 2,iPePg,Total Bases,6/21/23 9:38PM
17,A81xn,BOS 4 @ MIN 5,ONP9m,Total Bases,6/21/23 7:40PM
18,A81xn,CWS 3 vs TEX 6,ONP9m,Hits + Runs + RBIs,6/21/23 8:10PM
19,A81xn,LAA 0 vs LAD 2,iPePg,Hits + Runs + RBIs,6/21/23 9:38PM
20,A81xn,WSH 3 vs STL 0,iPePg,Hits + Runs + RBIs,6/21/23 4:05PM
21,A81xn,PHI 0 vs ATL 0,,Total Bases,6/21/23 6:40PM
22,A81xn,ATL 0 @ PHI 0,,Hits + Runs + RBIs,6/21/23 6:40PM
23,A81xn,WSH 3 vs STL 0,iPePg,Hits + Runs + RBIs,6/21/23 4:05PM
24,cQka7,Travelers Cham... R1,ONP9m,Fewer Strokes,6/22/23 6:55AM
25,cQka7,Travelers Cham... R1,ONP9m,Fewer Strokes,6/22/23 7:55AM
26,cQka7,Travelers Cham... R1,ONP9m,Fewer Strokes,6/22/23 1:50PM
27,cQka7,Travelers Cham... R1,ONP9m,Fewer Strokes,6/22/23 6:45AM
28,cQka7,Travelers Cham... R1,ONP9m,Fewer Strokes,6/22/23 7:25AM
29,cQka7,Travelers Cham... R1,iPePg,Fewer Strokes,6/22/23 7:25AM
30,cQka7,Travelers Cham... R1,,Fewer Strokes,6/22/23 7:35AM
31,cQka7,Travelers Cham... R1,ONP9m,Fewer Strokes,6/22/23 12:30PM
32,cQka7,Travelers Cham... R1,ONP9m,Fewer Strokes,6/22/23 1:40PM
33,cQka7,Travelers Cham... R1,iPePg,Fewer Strokes,6/22/23 7:15AM
34,cQka7,Travelers Cham... R1,ONP9m,Fewer Strokes,6/22/23 8:05AM
35,cQka7,Travelers Cham... R1,ONP9m,Fewer Strokes,6/22/23 12:50PM
36,cQka7,Travelers Cham... R1,ONP9m,Fewer Strokes,6/22/23 7:15AM
37,cQka7,Travelers Cham... R1,ONP9m,Fewer Strokes,6/22/23 12:40PM
38,cQka7,Travelers Cham... R1,iPePg,Fewer Strokes,6/22/23 1:00PM
39,A81xn,ARI 5 @ MIL 1,ONP9m,Hits + Runs + RBIs,6/21/23 2:10PM
40,A81xn,ARI 5 @ MIL 1,ONP9m,Hits + Runs + RBIs,6/21/23 2:10PM
41,A81xn,TB 7 vs BAL 2,,Total Bases,6/21/23 12:10PM
42,A81xn,MIA 0 vs TOR 2,iPePg,Hits + Runs + RBIs,6/20/23 6:40PM
43,A81xn,MIA 0 vs TOR 2,,Hits + Runs + RBIs,6/20/23 6:40PM
44,A81xn,WSH 3 vs STL 9,iPePg,Hits + Runs + RBIs,6/20/23 7:05PM
