,player_name,market,line,over_under,odds,league,sport,bookmaker,implied_probability,no_vig_prob
0,Kevin Durant,player_assists,3.5,Over,-120,NBA,basketball_nba,Pinnacle,54.54545454545454,0.5101214574898785
1,Kevin Durant,player_assists,3.5,Under,-110,NBA,basketball_nba,Pinnacle,52.38095238095239,0.48987854251012153
2,Devin Booker,player_assists,6.5,Over,-108,NBA,basketball_nba,Pinnacle,51.92307692307693,0.48581617766250607
3,Devin Booker,player_assists,6.5,Under,-122,NBA,basketball_nba,Pinnacle,54.95495495495496,0.5141838223374938
4,Bradley Beal,player_assists,4.5,Over,-160,NBA,basketball_nba,Pinnacle,61.53846153846154,0.5740498034076016
5,Bradley Beal,player_assists,4.5,Under,119,NBA,basketball_nba,Pinnacle,45.662100456621005,0.4259501965923984
6,Jusuf Nurkic,player_assists,3.5,Over,-148,NBA,basketball_nba,Pinnacle,59.67741935483871,0.5573641750553295
7,Jusuf Nurkic,player_assists,3.5,Under,111,NBA,basketball_nba,Pinnacle,47.39336492890995,0.4426358249446705
8,Anthony Edwards,player_assists,5.5,Over,-101,NBA,basketball_nba,Pinnacle,50.24875621890548,0.46979581974145224
9,Anthony Edwards,player_assists,5.5,Under,-131,NBA,basketball_nba,Pinnacle,56.709956709956714,0.5302041802585478
10,Mike Conley,player_assists,5.5,Over,-132,NBA,basketball_nba,Pinnacle,56.896551724137936,0.531022336081979
11,Mike Conley,player_assists,5.5,Under,-101,NBA,basketball_nba,Pinnacle,50.24875621890548,0.468977663918021
12,Karl-Anthony Towns,player_assists,3.5,Over,119,NBA,basketball_nba,Pinnacle,45.662100456621005,0.4265410648704731
13,Karl-Anthony Towns,player_assists,3.5,Under,-159,NBA,basketball_nba,Pinnacle,61.38996138996139,0.5734589351295268
14,Kevin Durant,player_points,26.5,Over,-104,NBA,basketball_nba,Pinnacle,50.98039215686274,0.47677518377898054
15,Kevin Durant,player_points,26.5,Under,-127,NBA,basketball_nba,Pinnacle,55.947136563876654,0.5232248162210196
16,Devin Booker,player_points,24.5,Over,-121,NBA,basketball_nba,Pinnacle,54.75113122171946,0.5121511604358217
17,Devin Booker,player_points,24.5,Under,-109,NBA,basketball_nba,Pinnacle,52.15311004784689,0.4878488395641784
18,Bradley Beal,player_points,17.5,Over,106,NBA,basketball_nba,Pinnacle,48.54368932038835,0.45346780566740674
19,Bradley Beal,player_points,17.5,Under,-141,NBA,basketball_nba,Pinnacle,58.50622406639005,0.5465321943325933
20,Jusuf Nurkic,player_points,8.5,Over,-114,NBA,basketball_nba,Pinnacle,53.271028037383175,0.49797767351561234
21,Jusuf Nurkic,player_points,8.5,Under,-116,NBA,basketball_nba,Pinnacle,53.70370370370371,0.5020223264843877
22,Rudy Gobert,player_points,13.5,Over,-132,NBA,basketball_nba,Pinnacle,56.896551724137936,0.532258064516129
23,Rudy Gobert,player_points,13.5,Under,100,NBA,basketball_nba,Pinnacle,50.0,0.46774193548387094
24,Anthony Edwards,player_points,25.5,Over,-132,NBA,basketball_nba,Pinnacle,56.896551724137936,0.5334995576288909
25,Anthony Edwards,player_points,25.5,Under,101,NBA,basketball_nba,Pinnacle,49.75124378109453,0.46650044237110916
26,Jaden McDaniels,player_points,9.5,Over,-136,NBA,basketball_nba,Pinnacle,57.6271186440678,0.5391345102327761
27,Jaden McDaniels,player_points,9.5,Under,103,NBA,basketball_nba,Pinnacle,49.26108374384236,0.46086548976722386
28,Mike Conley,player_points,11.5,Over,-127,NBA,basketball_nba,Pinnacle,55.947136563876654,0.5232248162210196
29,Mike Conley,player_points,11.5,Under,-104,NBA,basketball_nba,Pinnacle,50.98039215686274,0.47677518377898054
30,Karl-Anthony Towns,player_points,18.5,Over,-103,NBA,basketball_nba,Pinnacle,50.73891625615764,0.4747311393223902
31,Karl-Anthony Towns,player_points,18.5,Under,-128,NBA,basketball_nba,Pinnacle,56.14035087719298,0.5252688606776097
32,Grayson Allen,player_points,11.5,Over,-118,NBA,basketball_nba,Pinnacle,54.12844036697248,0.5060689431946916
33,Grayson Allen,player_points,11.5,Under,-112,NBA,basketball_nba,Pinnacle,52.83018867924528,0.49393105680530824
34,Nickeil Alexander-Walker,player_points,7.5,Over,-125,NBA,basketball_nba,Pinnacle,55.55555555555556,0.5191532258064516
35,Nickeil Alexander-Walker,player_points,7.5,Under,-106,NBA,basketball_nba,Pinnacle,51.45631067961165,0.4808467741935484
36,Naz Reid,player_points,10.5,Over,-132,NBA,basketball_nba,Pinnacle,56.896551724137936,0.531022336081979
37,Naz Reid,player_points,10.5,Under,-101,NBA,basketball_nba,Pinnacle,50.24875621890548,0.468977663918021
38,Kevin Durant,player_points_rebounds_assists,36.5,Over,-115,NBA,basketball_nba,Pinnacle,53.48837209302325,0.5
39,Kevin Durant,player_points_rebounds_assists,36.5,Under,-115,NBA,basketball_nba,Pinnacle,53.48837209302325,0.5
40,Devin Booker,player_points_rebounds_assists,35.5,Over,-115,NBA,basketball_nba,Pinnacle,53.48837209302325,0.5
41,Devin Booker,player_points_rebounds_assists,35.5,Under,-115,NBA,basketball_nba,Pinnacle,53.48837209302325,0.5
42,Bradley Beal,player_points_rebounds_assists,27.5,Over,-107,NBA,basketball_nba,Pinnacle,51.690821256038646,0.4837800575807956
43,Bradley Beal,player_points_rebounds_assists,27.5,Under,-123,NBA,basketball_nba,Pinnacle,55.15695067264574,0.5162199424192044
44,Jusuf Nurkic,player_points_rebounds_assists,23.5,Over,-109,NBA,basketball_nba,Pinnacle,52.15311004784689,0.4878488395641784
45,Jusuf Nurkic,player_points_rebounds_assists,23.5,Under,-121,NBA,basketball_nba,Pinnacle,54.75113122171946,0.5121511604358217
46,Rudy Gobert,player_points_rebounds_assists,28.5,Over,-119,NBA,basketball_nba,Pinnacle,54.337899543378995,0.5070343275182893
47,Rudy Gobert,player_points_rebounds_assists,28.5,Under,-112,NBA,basketball_nba,Pinnacle,52.83018867924528,0.49296567248171075
48,Anthony Edwards,player_points_rebounds_assists,36.5,Over,-129,NBA,basketball_nba,Pinnacle,56.33187772925764,0.5273190869354055
49,Anthony Edwards,player_points_rebounds_assists,36.5,Under,-102,NBA,basketball_nba,Pinnacle,50.495049504950494,0.4726809130645944
50,Jaden McDaniels,player_points_rebounds_assists,15.5,Over,-103,NBA,basketball_nba,Pinnacle,50.73891625615764,0.4738819463977177
51,Jaden McDaniels,player_points_rebounds_assists,15.5,Under,-129,NBA,basketball_nba,Pinnacle,56.33187772925764,0.5261180536022823
52,Mike Conley,player_points_rebounds_assists,20.5,Over,-109,NBA,basketball_nba,Pinnacle,52.15311004784689,0.48692047649710235
53,Mike Conley,player_points_rebounds_assists,20.5,Under,-122,NBA,basketball_nba,Pinnacle,54.95495495495496,0.5130795235028976
54,Karl-Anthony Towns,player_points_rebounds_assists,28.5,Over,-121,NBA,basketball_nba,Pinnacle,54.75113122171946,0.5110619469026548
55,Karl-Anthony Towns,player_points_rebounds_assists,28.5,Under,-110,NBA,basketball_nba,Pinnacle,52.38095238095239,0.4889380530973451
56,Grayson Allen,player_points_rebounds_assists,17.5,Over,-113,NBA,basketball_nba,Pinnacle,53.051643192488264,0.49595485619513774
57,Grayson Allen,player_points_rebounds_assists,17.5,Under,-117,NBA,basketball_nba,Pinnacle,53.91705069124424,0.5040451438048623
58,Naz Reid,player_points_rebounds_assists,16.5,Over,-134,NBA,basketball_nba,Pinnacle,57.26495726495726,0.535105495291453
59,Naz Reid,player_points_rebounds_assists,16.5,Under,101,NBA,basketball_nba,Pinnacle,49.75124378109453,0.46489450470854693
60,Kevin Durant,player_rebounds,6.5,Over,-118,NBA,basketball_nba,Pinnacle,54.12844036697248,0.5060689431946916
61,Kevin Durant,player_rebounds,6.5,Under,-112,NBA,basketball_nba,Pinnacle,52.83018867924528,0.49393105680530824
62,Jusuf Nurkic,player_rebounds,10.5,Over,-109,NBA,basketball_nba,Pinnacle,52.15311004784689,0.4878488395641784
63,Jusuf Nurkic,player_rebounds,10.5,Under,-121,NBA,basketball_nba,Pinnacle,54.75113122171946,0.5121511604358217
64,Rudy Gobert,player_rebounds,12.5,Over,-133,NBA,basketball_nba,Pinnacle,57.08154506437768,0.533066132264529
65,Rudy Gobert,player_rebounds,12.5,Under,100,NBA,basketball_nba,Pinnacle,50.0,0.46693386773547096
66,Anthony Edwards,player_rebounds,5.5,Over,-113,NBA,basketball_nba,Pinnacle,53.051643192488264,0.4949766918501849
67,Anthony Edwards,player_rebounds,5.5,Under,-118,NBA,basketball_nba,Pinnacle,54.12844036697248,0.5050233081498151
68,Karl-Anthony Towns,player_rebounds,7.5,Over,117,NBA,basketball_nba,Pinnacle,46.08294930875576,0.42998879017550906
69,Karl-Anthony Towns,player_rebounds,7.5,Under,-157,NBA,basketball_nba,Pinnacle,61.08949416342413,0.570011209824491
70,Royce O'Neale,player_rebounds,5.5,Over,100,NBA,basketball_nba,Pinnacle,50.0,0.46693386773547096
71,Royce O'Neale,player_rebounds,5.5,Under,-133,NBA,basketball_nba,Pinnacle,57.08154506437768,0.533066132264529
72,Kevin Durant,player_threes,2.5,Over,134,NBA,basketball_nba,Pinnacle,42.73504273504273,0.3988417974848837
73,Kevin Durant,player_threes,2.5,Under,-181,NBA,basketball_nba,Pinnacle,64.41281138790036,0.6011582025151162
74,Devin Booker,player_threes,2.5,Over,109,NBA,basketball_nba,Pinnacle,47.84688995215311,0.44703950369491835
75,Devin Booker,player_threes,2.5,Under,-145,NBA,basketball_nba,Pinnacle,59.183673469387756,0.5529604963050816
76,Bradley Beal,player_threes,1.5,Over,-157,NBA,basketball_nba,Pinnacle,61.08949416342413,0.570011209824491
77,Bradley Beal,player_threes,1.5,Under,117,NBA,basketball_nba,Pinnacle,46.08294930875576,0.42998879017550906
78,Anthony Edwards,player_threes,2.5,Over,-117,NBA,basketball_nba,Pinnacle,53.91705069124424,0.5040451438048623
79,Anthony Edwards,player_threes,2.5,Under,-113,NBA,basketball_nba,Pinnacle,53.051643192488264,0.49595485619513774
80,Jaden McDaniels,player_threes,1.5,Over,165,NBA,basketball_nba,Pinnacle,37.735849056603776,0.3500681270307096
81,Jaden McDaniels,player_threes,1.5,Under,-234,NBA,basketball_nba,Pinnacle,70.05988023952095,0.6499318729692903
82,Mike Conley,player_threes,2.5,Over,139,NBA,basketball_nba,Pinnacle,41.84100418410041,0.3897325628275769
83,Mike Conley,player_threes,2.5,Under,-190,NBA,basketball_nba,Pinnacle,65.51724137931035,0.6102674371724232
84,Karl-Anthony Towns,player_threes,1.5,Over,-148,NBA,basketball_nba,Pinnacle,59.67741935483871,0.5573641750553295
85,Karl-Anthony Towns,player_threes,1.5,Under,111,NBA,basketball_nba,Pinnacle,47.39336492890995,0.4426358249446705
86,Grayson Allen,player_threes,2.5,Over,116,NBA,basketball_nba,Pinnacle,46.2962962962963,0.4323499491353001
87,Grayson Allen,player_threes,2.5,Under,-155,NBA,basketball_nba,Pinnacle,60.78431372549019,0.5676500508646999
88,Nickeil Alexander-Walker,player_threes,1.5,Over,-105,NBA,basketball_nba,Pinnacle,51.21951219512195,0.47794265089232
89,Nickeil Alexander-Walker,player_threes,1.5,Under,-127,NBA,basketball_nba,Pinnacle,55.947136563876654,0.52205734910768
90,Naz Reid,player_threes,1.5,Over,-134,NBA,basketball_nba,Pinnacle,57.26495726495726,0.535105495291453
91,Naz Reid,player_threes,1.5,Under,101,NBA,basketball_nba,Pinnacle,49.75124378109453,0.46489450470854693
92,Andrew Nembhard,player_assists,3.5,Over,-117,NBA,basketball_nba,Pinnacle,53.91705069124424,0.5040451438048623
93,Andrew Nembhard,player_assists,3.5,Under,-113,NBA,basketball_nba,Pinnacle,53.051643192488264,0.49595485619513774
94,Pascal Siakam,player_assists,2.5,Over,-163,NBA,basketball_nba,Pinnacle,61.97718631178707,0.5780049099048505
95,Pascal Siakam,player_assists,2.5,Under,121,NBA,basketball_nba,Pinnacle,45.248868778280546,0.42199509009514946
96,Tyrese Haliburton,player_assists,10.5,Over,111,NBA,basketball_nba,Pinnacle,47.39336492890995,0.441967376062763
97,Tyrese Haliburton,player_assists,10.5,Under,-149,NBA,basketball_nba,Pinnacle,59.83935742971887,0.5580326239372371
98,Patrick Beverley,player_assists,4.5,Over,117,NBA,basketball_nba,Pinnacle,46.08294930875576,0.43059947520688957
99,Patrick Beverley,player_assists,4.5,Under,-156,NBA,basketball_nba,Pinnacle,60.9375,0.5694005247931104
100,Damian Lillard,player_assists,6.5,Over,-120,NBA,basketball_nba,Pinnacle,54.54545454545454,0.5090470446320868
101,Damian Lillard,player_assists,6.5,Under,-111,NBA,basketball_nba,Pinnacle,52.60663507109005,0.49095295536791317
102,Khris Middleton,player_assists,5.5,Over,-144,NBA,basketball_nba,Pinnacle,59.01639344262295,0.5510744774801295
103,Khris Middleton,player_assists,5.5,Under,108,NBA,basketball_nba,Pinnacle,48.07692307692308,0.4489255225198705
104,T.J. McConnell,player_assists,4.5,Over,107,NBA,basketball_nba,Pinnacle,48.309178743961354,0.45154308318095304
105,T.J. McConnell,player_assists,4.5,Under,-142,NBA,basketball_nba,Pinnacle,58.67768595041323,0.5484569168190468
106,Andrew Nembhard,player_points,7.5,Over,-114,NBA,basketball_nba,Pinnacle,53.271028037383175,0.49797767351561234
107,Andrew Nembhard,player_points,7.5,Under,-116,NBA,basketball_nba,Pinnacle,53.70370370370371,0.5020223264843877
