,player_name,market,line,over_under,odds,league,sport,bookmaker,implied_probability,no_vig_prob
0,Alex Ovechkin,player_assists,0.5,Over,145,NHL,icehockey_nhl,Pinnacle,40.816326530612244,0.3793559770621967
1,Alex Ovechkin,player_assists,0.5,Under,-201,NHL,icehockey_nhl,Pinnacle,66.77740863787376,0.6206440229378033
2,T.J. Oshie,player_assists,0.5,Over,234,NHL,icehockey_nhl,Pinnacle,29.94011976047904,0.2755305428537929
3,T.J. Oshie,player_assists,0.5,Under,-370,NHL,icehockey_nhl,Pinnacle,78.72340425531915,0.7244694571462071
4,Max Pacioretty,player_assists,0.5,Over,241,NHL,icehockey_nhl,Pinnacle,29.32551319648094,0.2696614250995972
5,Max Pacioretty,player_assists,0.5,Under,-386,NHL,icehockey_nhl,Pinnacle,79.42386831275721,0.7303385749004028
6,John Carlson,player_assists,0.5,Over,119,NHL,icehockey_nhl,Pinnacle,45.662100456621005,0.4259501965923984
7,John Carlson,player_assists,0.5,Under,-160,NHL,icehockey_nhl,Pinnacle,61.53846153846154,0.5740498034076016
8,Tom Wilson,player_assists,0.5,Over,208,NHL,icehockey_nhl,Pinnacle,32.467532467532465,0.2995957262489171
9,Tom Wilson,player_assists,0.5,Under,-315,NHL,icehockey_nhl,Pinnacle,75.90361445783132,0.7004042737510829
10,Dylan Strome,player_assists,0.5,Over,126,NHL,icehockey_nhl,Pinnacle,44.24778761061947,0.4121923767225382
11,Dylan Strome,player_assists,0.5,Under,-171,NHL,icehockey_nhl,Pinnacle,63.09963099630996,0.5878076232774617
12,Connor McMichael,player_assists,0.5,Over,288,NHL,icehockey_nhl,Pinnacle,25.773195876288657,0.23616044764389676
13,Connor McMichael,player_assists,0.5,Under,-501,NHL,icehockey_nhl,Pinnacle,83.36106489184692,0.7638395523561032
14,Chris Kreider,player_assists,0.5,Over,153,NHL,icehockey_nhl,Pinnacle,39.52569169960474,0.3628052501359133
15,Chris Kreider,player_assists,0.5,Under,-227,NHL,icehockey_nhl,Pinnacle,69.41896024464832,0.6371947498640868
16,Vincent Trocheck,player_assists,0.5,Over,-110,NHL,icehockey_nhl,Pinnacle,52.38095238095239,0.48987854251012153
17,Vincent Trocheck,player_assists,0.5,Under,-120,NHL,icehockey_nhl,Pinnacle,54.54545454545454,0.5101214574898785
18,Mika Zibanejad,player_assists,0.5,Over,100,NHL,icehockey_nhl,Pinnacle,50.0,0.46774193548387094
19,Mika Zibanejad,player_assists,0.5,Under,-132,NHL,icehockey_nhl,Pinnacle,56.896551724137936,0.532258064516129
20,Alexander Wennberg,player_assists,0.5,Over,254,NHL,icehockey_nhl,Pinnacle,28.24858757062147,0.2595635300640089
21,Alexander Wennberg,player_assists,0.5,Under,-415,NHL,icehockey_nhl,Pinnacle,80.58252427184466,0.7404364699359911
22,Artemi Panarin,player_assists,0.5,Over,-191,NHL,icehockey_nhl,Pinnacle,65.63573883161511,0.6106971330720143
23,Artemi Panarin,player_assists,0.5,Under,139,NHL,icehockey_nhl,Pinnacle,41.84100418410041,0.38930286692798566
24,Adam Fox,player_assists,0.5,Over,-133,NHL,icehockey_nhl,Pinnacle,57.08154506437768,0.5259136977886978
25,Adam Fox,player_assists,0.5,Under,-106,NHL,icehockey_nhl,Pinnacle,51.45631067961165,0.4740863022113022
26,Jack Roslovic,player_assists,0.5,Over,214,NHL,icehockey_nhl,Pinnacle,31.84713375796178,0.29356892010535557
27,Jack Roslovic,player_assists,0.5,Under,-328,NHL,icehockey_nhl,Pinnacle,76.63551401869158,0.7064310798946444
28,Alexis Lafrenière,player_assists,0.5,Over,177,NHL,icehockey_nhl,Pinnacle,36.101083032490976,0.33423464022833105
29,Alexis Lafrenière,player_assists,0.5,Under,-256,NHL,icehockey_nhl,Pinnacle,71.91011235955057,0.665765359771669
30,Alex Ovechkin,player_points,0.5,Over,-163,NHL,icehockey_nhl,Pinnacle,61.97718631178707,0.571277202706007
31,Alex Ovechkin,player_points,0.5,Under,115,NHL,icehockey_nhl,Pinnacle,46.51162790697674,0.42872279729399293
32,T.J. Oshie,player_points,0.5,Over,127,NHL,icehockey_nhl,Pinnacle,44.052863436123346,0.41060322444296843
33,T.J. Oshie,player_points,0.5,Under,-172,NHL,icehockey_nhl,Pinnacle,63.23529411764706,0.5893967755570316
34,Max Pacioretty,player_points,0.5,Over,151,NHL,icehockey_nhl,Pinnacle,39.8406374501992,0.3703261259108829
35,Max Pacioretty,player_points,0.5,Under,-210,NHL,icehockey_nhl,Pinnacle,67.74193548387096,0.6296738740891172
36,John Carlson,player_points,0.5,Over,-120,NHL,icehockey_nhl,Pinnacle,54.54545454545454,0.5101214574898785
37,John Carlson,player_points,0.5,Under,-110,NHL,icehockey_nhl,Pinnacle,52.38095238095239,0.48987854251012153
38,Tom Wilson,player_points,0.5,Over,113,NHL,icehockey_nhl,Pinnacle,46.948356807511736,0.43832841450849586
39,Tom Wilson,player_points,0.5,Under,-151,NHL,icehockey_nhl,Pinnacle,60.1593625498008,0.5616715854915041
40,Dylan Strome,player_points,0.5,Over,-145,NHL,icehockey_nhl,Pinnacle,59.183673469387756,0.5481788842784694
41,Dylan Strome,player_points,0.5,Under,105,NHL,icehockey_nhl,Pinnacle,48.78048780487805,0.45182111572153066
