,Name,Line_Category,Line,Over_Under,League,Bookmaker,No_Vig_Probability
0,Aaron Judge,Runs,0.5,Over,MLB,Draftkings/Fanduel,0.5558375634517767
1,Aaron Judge,Hits,0.5,Over,MLB,Draftkings/Fanduel,0.6428329838327809
2,Aaron Judge,Hits,0.5,Under,MLB,Draftkings/Fanduel,0.35716701616721913
3,Aaron Judge,Total Bases,1.5,Under,MLB,Pinnacle,0.542636252296387
4,Aaron Judge,Hits + Runs + RBIs,2.5,Under,MLB,Draftkings/Fanduel,0.5665108372290693
5,Aaron Judge,Runs,0.5,Under,MLB,Draftkings/Fanduel,0.4441624365482233
6,Aaron Judge,Singles,0.5,Over,MLB,Draftkings/Fanduel,0.40081521739130427
7,Aaron Judge,Singles,0.5,Under,MLB,Draftkings/Fanduel,0.5991847826086957
8,Aaron Judge,Total Bases,1.5,Over,MLB,Draftkings/Fanduel,0.45849056603773586
9,Aaron Judge,Total Bases,1.5,Under,MLB,Draftkings/Fanduel,0.5415094339622641
10,Aaron Judge,Batter Walks,0.5,Over,MLB,Draftkings/Fanduel,0.6269113149847094
11,Aaron Judge,Batter Walks,0.5,Under,MLB,Draftkings/Fanduel,0.3730886850152905
12,Aaron Judge,Hits + Runs + RBIs,2.5,Over,MLB,Draftkings/Fanduel,0.43348916277093075
13,Aaron Judge,Total Bases,1.5,Over,MLB,Pinnacle,0.45736374770361293
14,Aaron Nesmith,Points,11.5,Under,NBA,Draftkings/Fanduel,0.4934707823973844
15,Aaron Nesmith,Points + Assists,13.5,Over,NBA,Draftkings/Fanduel,0.5173641257162702
16,Aaron Nesmith,Points + Assists,13.5,Under,NBA,Draftkings/Fanduel,0.4826358742837298
17,Aaron Nesmith,Points + Rebounds,16.5,Over,NBA,Draftkings/Fanduel,0.5129414937444923
18,Aaron Nesmith,Points + Rebounds,16.5,Under,NBA,Draftkings/Fanduel,0.4870585062555078
19,Aaron Nesmith,Pts + Rebs + Asts,19.5,Over,NBA,Draftkings/Fanduel,0.4826358742837298
20,Aaron Nesmith,Pts + Rebs + Asts,19.5,Under,NBA,Draftkings/Fanduel,0.5173641257162702
21,Aaron Nesmith,Rebounds,4.5,Over,NBA,Draftkings/Fanduel,0.546701203717812
22,Aaron Nesmith,Rebounds,4.5,Under,NBA,Draftkings/Fanduel,0.453298796282188
23,Aaron Nesmith,Rebounds,5.5,Over,NBA,Draftkings/Fanduel,0.4279403644395362
24,Aaron Nesmith,Rebounds,5.5,Under,NBA,Draftkings/Fanduel,0.5720596355604638
25,Aaron Nesmith,Rebounds + Assists,7.5,Over,NBA,Draftkings/Fanduel,0.4365079365079365
26,Aaron Nesmith,Rebounds + Assists,7.5,Under,NBA,Draftkings/Fanduel,0.5634920634920636
27,Aaron Nesmith,Steals,0.5,Over,NBA,Draftkings/Fanduel,0.6045785639958376
28,Aaron Nesmith,Steals,0.5,Under,NBA,Draftkings/Fanduel,0.3954214360041623
29,Aaron Nesmith,player_threes,1.5,Over,NBA,Draftkings/Fanduel,0.5378733199383572
30,Aaron Nesmith,player_threes,1.5,Under,NBA,Draftkings/Fanduel,0.4621266800616429
31,Aaron Nesmith,Points,11.5,Over,NBA,Draftkings/Fanduel,0.5065292176026156
32,Aaron Nesmith,Blocks,0.5,Over,NBA,Draftkings/Fanduel,0.4891657638136511
33,Aaron Nesmith,Blocks,0.5,Under,NBA,Draftkings/Fanduel,0.5108342361863488
34,Aaron Nesmith,Points,11.5,Over,NBA,Pinnacle,0.5162199424192044
35,Aaron Nesmith,Points,11.5,Under,NBA,Pinnacle,0.4837800575807956
36,Aaron Nesmith,Pts + Rebs + Asts,19.5,Under,NBA,Pinnacle,0.5273190869354055
37,Aaron Nesmith,Rebounds,5.5,Over,NBA,Pinnacle,0.41112307902362055
38,Aaron Nesmith,Rebounds,5.5,Under,NBA,Pinnacle,0.5888769209763793
39,Aaron Nesmith,player_threes,1.5,Over,NBA,Pinnacle,0.5510744774801295
40,Aaron Nesmith,player_threes,1.5,Under,NBA,Pinnacle,0.4489255225198705
