,Name,Line_Category,Line,over_under,league,no_vig_prob
68,Donovan Mitchell,Points,25.5,Over,NBA,0.5371282253299192
69,Donovan Mitchell,Points,25.5,Under,NBA,0.46287177467008067
70,Caris LeVert,Points,8.5,Over,NBA,0.5240847784200385
71,Caris LeVert,Points,8.5,Under,NBA,0.47591522157996147
72,Max Strus,Points,9.5,Over,NBA,0.46774193548387094
73,Max Strus,Points,9.5,Under,NBA,0.532258064516129
74,Jarrett Allen,Points,14.5,Over,NBA,0.5050908202329559
75,Jarrett Allen,Points,14.5,Under,NBA,0.49490917976704407
76,Darius Garland,Points,15.5,Over,NBA,0.5751633986928105
77,Darius Garland,Points,15.5,Under,NBA,0.42483660130718953
78,Evan Mobley,Points,14.5,Over,NBA,0.46569264285571527
79,Evan Mobley,Points,14.5,Under,NBA,0.5343073571442848
80,Jonathan Isaac,Points,9.5,Over,NBA,0.46164423926922693
81,Jonathan Isaac,Points,9.5,Under,NBA,0.5383557607307731
82,Franz Wagner,Points,18.5,Over,NBA,0.5151002657646775
83,Franz Wagner,Points,18.5,Under,NBA,0.48489973423532257
84,Jalen Suggs,Points,12.5,Over,NBA,0.5130795235028976
85,Jalen Suggs,Points,12.5,Under,NBA,0.48692047649710235
86,Paolo Banchero,Points,22.5,Over,NBA,0.4889380530973451
87,Paolo Banchero,Points,22.5,Under,NBA,0.5110619469026548
88,Wendell Carter Jr,Points,6.5,Over,NBA,0.4323499491353001
89,Wendell Carter Jr,Points,6.5,Under,NBA,0.5676500508646999
90,Moe Wagner,Points,7.5,Over,NBA,0.533066132264529
91,Moe Wagner,Points,7.5,Under,NBA,0.46693386773547096
92,Cole Anthony,Points,5.5,Over,NBA,0.4444844340471477
93,Cole Anthony,Points,5.5,Under,NBA,0.5555155659528522
94,Gary Harris,Points,5.5,Over,NBA,0.5171246675799823
95,Gary Harris,Points,5.5,Under,NBA,0.4828753324200177
96,Georges Niang,Points,5.5,Over,NBA,0.5445920303605313
97,Georges Niang,Points,5.5,Under,NBA,0.45540796963946867
98,Isaac Okoro,Points,4.5,Over,NBA,0.4828753324200177
99,Isaac Okoro,Points,4.5,Under,NBA,0.5171246675799823
