,Name,Line,Line_Category,Implied Probability,Fixed Odds Site
0,Patrick Mahomes,0.5,Passing Yards,0.5512,Underdog Fantasy
1,Emmet Sheehan,4.0,Strikeouts,0.5512,Underdog Fantasy
2,Emmet Sheehan,2.5,Earned Runs Allowed,0.5512,Underdog Fantasy
3,Max Muncy,7.5,Fantasy Points,0.5512,Underdog Fantasy
4,Max Muncy,1.5,Hits + Runs + RBIs,0.5512,Underdog Fantasy
5,Max Muncy,0.5,Runs,0.5512,Underdog Fantasy
6,Freddie Freeman,1.5,Total Bases,0.5512,Underdog Fantasy
7,Freddie Freeman,0.5,Batter Walks,0.5512,Underdog Fantasy
8,James Outman,0.5,Total Bases,0.5512,Underdog Fantasy
9,Mookie Betts,1.5,Total Bases,0.5512,Underdog Fantasy
10,Mookie Betts,0.5,Singles,0.5512,Underdog Fantasy
11,J.D. Martinez,0.5,Singles,0.5512,Underdog Fantasy
12,David Peralta,0.5,Singles,0.5512,Underdog Fantasy
13,Grayson Rodriguez,5.0,Strikeouts,0.5512,Underdog Fantasy
14,Grayson Rodriguez,2.5,Earned Runs Allowed,0.5512,Underdog Fantasy
15,Adley Rutschman,7.5,Fantasy Points,0.5512,Underdog Fantasy
16,Adley Rutschman,2.0,Hits + Runs + RBIs,0.5512,Underdog Fantasy
17,Adley Rutschman,0.5,Runs,0.5512,Underdog Fantasy
18,Adley Rutschman,0.5,Singles,0.5512,Underdog Fantasy
19,Adley Rutschman,0.5,Batter Walks,0.5512,Underdog Fantasy
20,Anthony Santander,1.5,Total Bases,0.5512,Underdog Fantasy
21,Adam Frazier,0.5,Singles,0.5512,Underdog Fantasy
22,Ryan O'Hearn,0.5,Singles,0.5512,Underdog Fantasy
23,Gunnar Henderson,0.5,Singles,0.5512,Underdog Fantasy
24,Colton Cowser,0.5,Singles,0.5512,Underdog Fantasy
25,Ramón Urías,0.5,Singles,0.5512,Underdog Fantasy
26,Ryan Mountcastle,0.5,Singles,0.5512,Underdog Fantasy
27,Aaron Hicks,0.5,Batter Walks,0.5512,Underdog Fantasy
28,José Ramírez,8.5,Fantasy Points,0.5512,Underdog Fantasy
29,José Ramírez,2.0,Hits + Runs + RBIs,0.5512,Underdog Fantasy
30,José Ramírez,0.5,Runs,0.5512,Underdog Fantasy
31,José Ramírez,0.5,Singles,0.5512,Underdog Fantasy
32,Josh Naylor,1.5,Total Bases,0.5512,Underdog Fantasy
33,Josh Naylor,0.5,Batter Strikeouts,0.5512,Underdog Fantasy
34,Amed Rosario,1.5,Total Bases,0.5512,Underdog Fantasy
35,Josh Bell,0.5,Singles,0.5512,Underdog Fantasy
36,Andrés Giménez,0.5,Singles,0.5512,Underdog Fantasy
37,Will Brennan,0.5,Batter Strikeouts,0.5512,Underdog Fantasy
38,Bryan Reynolds,7.5,Fantasy Points,0.5512,Underdog Fantasy
39,Bryan Reynolds,0.5,Runs,0.5512,Underdog Fantasy
40,Bryan Reynolds,0.5,Singles,0.5512,Underdog Fantasy
41,Liover Peguero,0.5,Total Bases,0.5512,Underdog Fantasy
42,Jared Triolo,0.5,Singles,0.5512,Underdog Fantasy
43,Henry Davis,0.5,Singles,0.5512,Underdog Fantasy
44,Andrew McCutchen,0.5,Singles,0.5512,Underdog Fantasy
45,Logan Webb,34.5,Fantasy Points,0.5512,Underdog Fantasy
46,Logan Webb,2.5,Earned Runs Allowed,0.5512,Underdog Fantasy
47,Logan Webb,6.0,Hits Allowed,0.5512,Underdog Fantasy
48,Logan Webb,1.5,Walks Allowed,0.5512,Underdog Fantasy
49,Logan Webb,98.5,Pitch Count,0.5512,Underdog Fantasy
50,J.D. Davis,7.5,Fantasy Points,0.5512,Underdog Fantasy
51,J.D. Davis,1.5,Total Bases,0.5512,Underdog Fantasy
52,J.D. Davis,0.5,Runs,0.5512,Underdog Fantasy
53,Wilmer Flores,1.5,Total Bases,0.5512,Underdog Fantasy
54,Wilmer Flores,0.5,Singles,0.5512,Underdog Fantasy
55,Luis Matos,0.5,Singles,0.5512,Underdog Fantasy
56,Luis Matos,0.5,Batter Strikeouts,0.5512,Underdog Fantasy
57,Austin Slater,0.5,Singles,0.5512,Underdog Fantasy
58,Casey Schmitt,0.5,Singles,0.5512,Underdog Fantasy
59,Patrick Bailey,0.5,Singles,0.5512,Underdog Fantasy
60,Michael Conforto,0.5,Singles,0.5512,Underdog Fantasy
61,Brandon Williamson,22.5,Fantasy Points,0.5512,Underdog Fantasy
62,Brandon Williamson,4.0,Strikeouts,0.5512,Underdog Fantasy
63,Brandon Williamson,2.5,Earned Runs Allowed,0.5512,Underdog Fantasy
64,Brandon Williamson,5.0,Hits Allowed,0.5512,Underdog Fantasy
65,Elly De La Cruz,8.5,Fantasy Points,0.5512,Underdog Fantasy
66,Elly De La Cruz,2.0,Hits + Runs + RBIs,0.5512,Underdog Fantasy
67,Will Benson,0.5,Total Bases,0.5512,Underdog Fantasy
68,Tyler Stephenson,0.5,Singles,0.5512,Underdog Fantasy
69,Jake Fraley,0.5,Singles,0.5512,Underdog Fantasy
70,TJ Friedl,0.5,Singles,0.5512,Underdog Fantasy
71,Matt McLain,0.5,Singles,0.5512,Underdog Fantasy
72,Christian Encarnacion-Strand,0.5,Singles,0.5512,Underdog Fantasy
73,Jesús Luzardo,33.5,Fantasy Points,0.5512,Underdog Fantasy
74,Jesús Luzardo,6.5,Strikeouts,0.5512,Underdog Fantasy
75,Jesús Luzardo,16.0,Pitching Outs,0.5512,Underdog Fantasy
76,Jesús Luzardo,4.5,Hits Allowed,0.5512,Underdog Fantasy
77,Jesús Luzardo,92.5,Pitch Count,0.5512,Underdog Fantasy
78,Jorge Soler,7.5,Fantasy Points,0.5512,Underdog Fantasy
79,Jorge Soler,0.5,Runs,0.5512,Underdog Fantasy
80,Jorge Soler,0.5,Singles,0.5512,Underdog Fantasy
81,Luis Arraez,1.5,Total Bases,0.5512,Underdog Fantasy
82,Jesús Sánchez,0.5,Singles,0.5512,Underdog Fantasy
83,Nick Fortes,0.5,Singles,0.5512,Underdog Fantasy
84,Nick Fortes,0.5,Batter Strikeouts,0.5512,Underdog Fantasy
85,Joey Wendle,0.5,Batter Strikeouts,0.5512,Underdog Fantasy
86,Jean Segura,0.5,Batter Strikeouts,0.5512,Underdog Fantasy
87,Miles Mikolas,22.5,Fantasy Points,0.5512,Underdog Fantasy
88,Miles Mikolas,3.5,Strikeouts,0.5512,Underdog Fantasy
89,Miles Mikolas,16.5,Pitching Outs,0.5512,Underdog Fantasy
90,Miles Mikolas,2.5,Earned Runs Allowed,0.5512,Underdog Fantasy
91,Miles Mikolas,6.0,Hits Allowed,0.5512,Underdog Fantasy
92,Paul Goldschmidt,8.5,Fantasy Points,0.5512,Underdog Fantasy
93,Paul Goldschmidt,0.5,Singles,0.5512,Underdog Fantasy
94,José Fermín,0.5,Total Bases,0.5512,Underdog Fantasy
95,Nolan Arenado,1.5,Total Bases,0.5512,Underdog Fantasy
96,Paul DeJong,0.5,Total Bases,0.5512,Underdog Fantasy
97,Paul DeJong,1.5,Batter Strikeouts,0.5512,Underdog Fantasy
98,Jordan Walker,0.5,Singles,0.5512,Underdog Fantasy
99,Dylan Carlson,0.5,Singles,0.5512,Underdog Fantasy
100,MacKenzie Gore,27.5,Fantasy Points,0.5512,Underdog Fantasy
101,MacKenzie Gore,5.5,Strikeouts,0.5512,Underdog Fantasy
102,MacKenzie Gore,15.5,Pitching Outs,0.5512,Underdog Fantasy
103,MacKenzie Gore,2.5,Earned Runs Allowed,0.5512,Underdog Fantasy
104,MacKenzie Gore,5.0,Hits Allowed,0.5512,Underdog Fantasy
105,MacKenzie Gore,2.0,Walks Allowed,0.5512,Underdog Fantasy
106,Joey Meneses,6.5,Fantasy Points,0.5512,Underdog Fantasy
107,Joey Meneses,2.0,Hits + Runs + RBIs,0.5512,Underdog Fantasy
108,Joey Meneses,0.5,Singles,0.5512,Underdog Fantasy
109,Lane Thomas,0.5,Singles,0.5512,Underdog Fantasy
110,Keibert Ruiz,0.5,Singles,0.5512,Underdog Fantasy
111,Dominic Smith,0.5,Singles,0.5512,Underdog Fantasy
112,Dominic Smith,0.5,Batter Strikeouts,0.5512,Underdog Fantasy
113,Drew Smyly,24.5,Fantasy Points,0.5512,Underdog Fantasy
114,Drew Smyly,4.0,Strikeouts,0.5512,Underdog Fantasy
115,Drew Smyly,2.5,Earned Runs Allowed,0.5512,Underdog Fantasy
116,Drew Smyly,5.5,Hits Allowed,0.5512,Underdog Fantasy
117,Cody Bellinger,7.5,Fantasy Points,0.5512,Underdog Fantasy
118,Cody Bellinger,1.5,Hits + Runs + RBIs,0.5512,Underdog Fantasy
119,Patrick Wisdom,0.5,Total Bases,0.5512,Underdog Fantasy
120,Yan Gomes,0.5,Singles,0.5512,Underdog Fantasy
121,Seiya Suzuki,0.5,Singles,0.5512,Underdog Fantasy
122,Ian Happ,0.5,Singles,0.5512,Underdog Fantasy
123,Nico Hoerner,0.5,Batter Strikeouts,0.5512,Underdog Fantasy
124,Shane McClanahan,5.5,Strikeouts,0.5512,Underdog Fantasy
125,Shane McClanahan,2.0,Earned Runs Allowed,0.5512,Underdog Fantasy
126,Shane McClanahan,4.5,Hits Allowed,0.5512,Underdog Fantasy
127,Wander Franco,7.5,Fantasy Points,0.5512,Underdog Fantasy
128,Wander Franco,0.5,Batter Strikeouts,0.5512,Underdog Fantasy
129,Yandy Díaz,1.5,Total Bases,0.5512,Underdog Fantasy
130,Yandy Díaz,0.5,Batter Strikeouts,0.5512,Underdog Fantasy
131,Randy Arozarena,0.5,Singles,0.5512,Underdog Fantasy
132,Josh Lowe,0.5,Singles,0.5512,Underdog Fantasy
133,Dane Dunning,25.5,Fantasy Points,0.5512,Underdog Fantasy
134,Dane Dunning,4.5,Strikeouts,0.5512,Underdog Fantasy
135,Dane Dunning,17.5,Pitching Outs,0.5512,Underdog Fantasy
136,Dane Dunning,5.5,Hits Allowed,0.5512,Underdog Fantasy
137,Dane Dunning,1.5,Walks Allowed,0.5512,Underdog Fantasy
138,Dane Dunning,90.5,Pitch Count,0.5512,Underdog Fantasy
139,Marcus Semien,7.5,Fantasy Points,0.5512,Underdog Fantasy
140,Marcus Semien,1.5,Hits + Runs + RBIs,0.5512,Underdog Fantasy
141,Marcus Semien,0.5,Singles,0.5512,Underdog Fantasy
142,Robbie Grossman,0.5,Total Bases,0.5512,Underdog Fantasy
143,Corey Seager,0.5,Singles,0.5512,Underdog Fantasy
144,Nathaniel Lowe,0.5,Singles,0.5512,Underdog Fantasy
145,Matt Manning,20.5,Fantasy Points,0.5512,Underdog Fantasy
146,Matt Manning,4.0,Strikeouts,0.5512,Underdog Fantasy
147,Matt Manning,2.5,Earned Runs Allowed,0.5512,Underdog Fantasy
148,Matt Manning,5.5,Hits Allowed,0.5512,Underdog Fantasy
149,Matt Manning,1.5,Walks Allowed,0.5512,Underdog Fantasy
150,Matt Manning,90.5,Pitch Count,0.5512,Underdog Fantasy
151,Riley Greene,7.5,Fantasy Points,0.5512,Underdog Fantasy
152,Riley Greene,2.0,Hits + Runs + RBIs,0.5512,Underdog Fantasy
153,Riley Greene,0.5,Runs,0.5512,Underdog Fantasy
154,Riley Greene,0.5,Singles,0.5512,Underdog Fantasy
155,Zach McKinstry,1.5,Total Bases,0.5512,Underdog Fantasy
156,Spencer Torkelson,1.5,Total Bases,0.5512,Underdog Fantasy
157,Spencer Torkelson,0.5,Singles,0.5512,Underdog Fantasy
158,Kerry Carpenter,0.5,Singles,0.5512,Underdog Fantasy
