,Player1,Player2,Stat_Category,Adjustment,Fixed Odds Site
0,Emmet Sheehan,Grayson Rodriguez,Strikeouts,1.0,Underdog Fantasy
1,Brandon Williamson,Logan Webb,Fantasy Points,11.5,Underdog Fantasy
2,Max Muncy,Adley Rutschman,Fantasy Points,0.0,Underdog Fantasy
3,J.D. Davis,Elly De La Cruz,Fantasy Points,1.0,Underdog Fantasy
4,David Peralta,Ryan Mountcastle,Hits + Runs + RBIs,0.0,Underdog Fantasy
5,Adam Frazier,Jason Heyward,Hits + Runs + RBIs,0.0,Underdog Fantasy
6,J.D. Martinez,Austin Hays,Hits + Runs + RBIs,0.0,Underdog Fantasy
7,Jordan Westburg,Miguel Rojas,Hits + Runs + RBIs,0.0,Underdog Fantasy
8,Miles Mikolas,Jesús Luzardo,Fantasy Points,10.5,Underdog Fantasy
9,Myles Straw,Henry Davis,Hits + Runs + RBIs,0.0,Underdog Fantasy
10,Nick Gonzales,Josh Naylor,Hits + Runs + RBIs,1.0,Underdog Fantasy
11,Wilmer Flores,Elly De La Cruz,Hits + Runs + RBIs,0.0,Underdog Fantasy
12,Matt McLain,Luis Matos,Hits + Runs + RBIs,0.0,Underdog Fantasy
13,Miles Mikolas,Jesús Luzardo,Strikeouts,3.0,Underdog Fantasy
14,Jordan Walker,Jesús Sánchez,Hits + Runs + RBIs,0.0,Underdog Fantasy
15,Dylan Carlson,Jean Segura,Hits + Runs + RBIs,0.0,Underdog Fantasy
16,Drew Smyly,MacKenzie Gore,Fantasy Points,2.5,Underdog Fantasy
17,Drew Smyly,MacKenzie Gore,Strikeouts,1.5,Underdog Fantasy
18,Joey Meneses,Cody Bellinger,Fantasy Points,1.0,Underdog Fantasy
19,Stone Garrett,Ian Happ,Hits + Runs + RBIs,0.0,Underdog Fantasy
20,Yan Gomes,Jeimer Candelario,Hits + Runs + RBIs,0.0,Underdog Fantasy
21,Dane Dunning,Shane McClanahan,Strikeouts,1.0,Underdog Fantasy
22,Marcus Semien,Wander Franco,Fantasy Points,0.0,Underdog Fantasy
23,Christian Bethancourt,Adolis García,Hits + Runs + RBIs,0.0,Underdog Fantasy
24,Luke Raley,Corey Seager,Hits + Runs + RBIs,0.0,Underdog Fantasy
25,Matt Manning,Jordan Lyles,Fantasy Points,2.5,Underdog Fantasy
26,MJ Melendez,Riley Greene,Fantasy Points,1.0,Underdog Fantasy
27,Akil Baddoo,Drew Waters,Hits + Runs + RBIs,0.0,Underdog Fantasy
28,Nick Maton,Nicky Lopez,Hits + Runs + RBIs,0.0,Underdog Fantasy
29,Luis Severino,Griffin Canning,Strikeouts,0.5,Underdog Fantasy
30,Luis Severino,Griffin Canning,Fantasy Points,3.0,Underdog Fantasy
31,Giancarlo Stanton,Shohei Ohtani,Fantasy Points,3.0,Underdog Fantasy
32,DJ LeMahieu,Mickey Moniak,Hits + Runs + RBIs,0.0,Underdog Fantasy
33,Anthony Rizzo,Hunter Renfroe,Hits + Runs + RBIs,0.0,Underdog Fantasy
34,Sonny Gray,Logan Gilbert,Fantasy Points,5.0,Underdog Fantasy
35,Sonny Gray,Logan Gilbert,Strikeouts,1.0,Underdog Fantasy
36,Byron Buxton,Julio Rodríguez,Fantasy Points,1.0,Underdog Fantasy
37,Donovan Solano,Jarred Kelenic,Hits + Runs + RBIs,0.0,Underdog Fantasy
38,Joey Gallo,Julio Rodríguez,Hits + Runs + RBIs,1.0,Underdog Fantasy
39,Emoni Bates,Cam Whitmore,Pts + Rebs + Asts,4.5,Underdog Fantasy
40,Emoni Bates,Cam Whitmore,Points,4.5,Underdog Fantasy
41,Jared Goff,Aaron Rodgers,Passing Yards,0.0,Underdog Fantasy
42,Justin Herbert,Deshaun Watson,Rushing TDs,0.5,Underdog Fantasy
43,Russell Wilson,Jared Goff,Passing TDs,1.0,Underdog Fantasy
44,Kenny Pickett,Justin Fields,Passing TDs,1.0,Underdog Fantasy
45,Kyle Pitts,Brandon Aiyuk,Receiving Yards,24.5,Underdog Fantasy
46,Joe Mixon,Kenneth Walker,Rushing TDs,0.5,Underdog Fantasy
47,Daniel Jones,Kenny Pickett,Passing Yards,0.0,Underdog Fantasy
48,Desmond Ridder,Anthony Richardson,Passing TDs,0.5,Underdog Fantasy
49,Mac Jones,Daniel Jones,Passing TDs,0.5,Underdog Fantasy
50,Josh Allen,Joe Burrow,Passing TDs,1.0,Underdog Fantasy
51,Josh Allen,Justin Fields,Rushing TDs,0.0,Underdog Fantasy
52,Kirk Cousins,Justin Herbert,Passing TDs,1.0,Underdog Fantasy
53,Dak Prescott,Geno Smith,Passing TDs,1.0,Underdog Fantasy
54,Lamar Jackson,Jalen Hurts,Passing Yards,50.0,Underdog Fantasy
55,Jordan Love,Jalen Hurts,Passing TDs,1.0,Underdog Fantasy
56,Jordan Love,Kenny Pickett,Passing Yards,35.0,Underdog Fantasy
57,Jared Goff,Deshaun Watson,Passing TDs,1.0,Underdog Fantasy
58,Dameon Pierce,Travis Etienne,Rushing TDs,0.5,Underdog Fantasy
59,Rhamondre Stevenson,Najee Harris,Rushing TDs,0.5,Underdog Fantasy
60,Trevor Lawrence,Joe Burrow,Rushing TDs,0.0,Underdog Fantasy
61,C.J. Stroud,Justin Fields,Passing TDs,0.5,Underdog Fantasy
62,Trevor Lawrence,Dak Prescott,Passing Yards,50.0,Underdog Fantasy
63,Derek Carr,Lamar Jackson,Passing TDs,0.0,Underdog Fantasy
64,Kirk Cousins,Justin Herbert,Passing Yards,35.5,Underdog Fantasy
65,Anthony Richardson,Daniel Jones,Passing TDs,1.5,Underdog Fantasy
66,Christian McCaffrey,David Montgomery,Rushing TDs,0.0,Underdog Fantasy
67,Chris Godwin,DK Metcalf,Receiving Yards,25.0,Underdog Fantasy
68,Jonathan Taylor,Derrick Henry,Rushing Yards,25.0,Underdog Fantasy
69,Michael Gallup,Drake London,Receiving TDs,0.0,Underdog Fantasy
70,Terry McLaurin,Jahan Dotson,Receiving TDs,0.0,Underdog Fantasy
71,Keenan Allen,Mike Williams,Receiving TDs,0.5,Underdog Fantasy
72,Stefon Diggs,Cooper Kupp,Receiving TDs,0.5,Underdog Fantasy
73,Dameon Pierce,Najee Harris,Rushing Yards,25.0,Underdog Fantasy
74,Gabe Davis,CeeDee Lamb,Receiving TDs,0.5,Underdog Fantasy
75,Cam Akers,Austin Ekeler,Rushing Yards,25.0,Underdog Fantasy
76,Damien Harris,D'Andre Swift,Rushing Yards,25.0,Underdog Fantasy
77,Khalil Herbert,Samaje Perine,Rushing Yards,0.0,Underdog Fantasy
78,Christian McCaffrey,Breece Hall,Rushing Yards,0.0,Underdog Fantasy
79,David Montgomery,Rachaad White,Rushing Yards,5.0,Underdog Fantasy
80,Nick Chubb,Josh Jacobs,Rushing TDs,0.5,Underdog Fantasy
81,Aaron Jones,Rhamondre Stevenson,Rushing Yards,50.0,Underdog Fantasy
82,Marquise Brown,Brandon Aiyuk,Receiving TDs,0.0,Underdog Fantasy
83,Kyle Pitts,Darren Waller,Receiving TDs,0.0,Underdog Fantasy
84,George Kittle,DJ Moore,Receiving TDs,0.0,Underdog Fantasy
85,Cooper Kupp,Ja'Marr Chase,Receiving TDs,1.0,Underdog Fantasy
86,Treylon Burks,Christian Kirk,Receiving TDs,0.0,Underdog Fantasy
87,Pat Freiermuth,Amon-Ra St. Brown,Receiving TDs,0.5,Underdog Fantasy
88,Bijan Robinson,Josh Jacobs,Rushing Yards,0.0,Underdog Fantasy
89,Travis Etienne,Kenneth Walker,Rushing Yards,50.0,Underdog Fantasy
90,J.K. Dobbins,James Conner,Rushing TDs,0.0,Underdog Fantasy
91,Tony Pollard,Josh Jacobs,Rushing Yards,50.0,Underdog Fantasy
92,Rachaad White,Joe Mixon,Rushing Yards,20.0,Underdog Fantasy
93,Austin Ekeler,Derrick Henry,Rushing TDs,1.0,Underdog Fantasy
94,Saquon Barkley,Tony Pollard,Rushing TDs,0.0,Underdog Fantasy
95,Deebo Samuel,Chris Olave,Receiving TDs,0.0,Underdog Fantasy
96,Nick Chubb,Jonathan Taylor,Rushing Yards,0.0,Underdog Fantasy
97,Jonathan Taylor,Bijan Robinson,Rushing TDs,0.0,Underdog Fantasy
98,George Pickens,Jordan Addison,Receiving TDs,0.0,Underdog Fantasy
99,A.J. Brown,Garrett Wilson,Receiving TDs,0.0,Underdog Fantasy
100,Christian Watson,Mike Evans,Receiving TDs,0.5,Underdog Fantasy
101,Russell Gage,Marvin Jones,Receiving Yards,0.0,Underdog Fantasy
102,Ja'Marr Chase,Davante Adams,Receiving Yards,25.0,Underdog Fantasy
